IRIS;COM;DEP;NBUC06;RFUCQ106;RFUCQ206;RFUCQ306;RFUCIQ06;RFUCD106;RFUCD206;RFUCD306;RFUCD406;RFUCD606;RFUCD706;RFUCD806;RFUCD906;RFUCRD06;RFUCET06;RFUCMO06;RFUCGI06
751010101;75056;75;631,9;15751;27830;48651;32900;;;;;;;;;;;;
751010102;75056;75;150,5;22842;33535;65157;42315;;;;;;;;;;;;
751010103;75056;75;264,6;15986;31550;53339;37353;;;;;;;;;;;;
751010104;75056;75;;;;;;;;;;;;;;;;;
751010201;75056;75;1721,9;12895;23615;37999;25104;5555;10783;15223;18969;27661;34486;42720;57550;10,4;43775,77;30603,29;0,4517
751010202;75056;75;1213,9;15355;27005;47991;32636;7582;12856;17276;22646;34414;42724;52342;70301;9,3;52441,27;37605,16;0,4631
751010203;75056;75;1586,3;16202;27774;47539;31337;7560;13525;18789;22858;34403;40696;53888;81623;10,8;70396,26;41475,54;0,4980
751010204;75056;75;1485,3;13813;25767;39142;25329;6748;11835;16239;21133;29760;35362;43515;60503;9,0;33291,61;32432,34;0,4339
751010206;75056;75;340,7;17161;31025;57513;40352;;;;;;;;;;;;
751010301;75056;75;2023,8;16925;30251;50964;34039;8338;14007;19491;24821;36379;44962;59675;90347;10,8;181285,05;54211,98;0,5806
751010302;75056;75;;;;;;;;;;;;;;;;;
751010303;75056;75;177,3;18179;45298;78650;60471;;;;;;;;;;;;
751010401;75056;75;931,6;18283;35057;59289;41006;11054;16053;21188;28462;42176;51435;67913;111603;10,1;87747,14;56026,19;0,5288
751010402;75056;75;1088,0;17108;29184;52590;35482;8088;14043;19137;23300;36980;47032;60373;90420;11,2;77758,58;47476,38;0,5276
751020501;75056;75;709,2;14568;28887;49450;34882;;;;;;;;;;;;
751020502;75056;75;212,6;14574;28545;59798;45224;;;;;;;;;;;;
751020503;75056;75;;;;;;;;;;;;;;;;;
751020601;75056;75;1143,8;18907;30385;49423;30516;9513;15800;20878;26261;37021;43728;55822;83415;8,8;72733,06;46383,30;0,4978
751020602;75056;75;1006,4;16556;28333;47730;31174;;;;;;;;;;;;
751020701;75056;75;1351,8;12984;26656;43000;30016;6170;10799;15846;20610;32427;38641;48867;66106;10,7;36023,53;34023,52;0,4552
751020702;75056;75;1400,3;14207;25146;44127;29920;6965;11932;16976;21605;31199;38339;49656;69681;10,0;77657,32;39900,57;0,5209
751020703;75056;75;1446,3;12835;26120;43559;30724;5768;10541;15718;20816;32416;38811;50226;71870;12,5;61364,08;37812,45;0,5099
751020704;75056;75;427,7;11104;26998;44643;33539;;;;;;;;;;;;
751020801;75056;75;1791,7;6874;14846;30991;24117;4015;5898;8215;11045;19726;26672;36615;54099;13,5;26791,34;23681,45;0,5147
751020802;75056;75;1319,5;12781;25463;44213;31432;5495;10366;15297;19806;31924;39600;49196;69267;12,6;49541,70;35530,67;0,4902
751020803;75056;75;1442,6;9748;21903;38744;28996;4440;7612;12060;16497;27795;34190;44203;60576;13,6;36482,18;30045,30;0,4914
751020804;75056;75;1588,2;6847;14102;31132;24285;3872;6028;7893;10283;19157;26103;35698;46697;12,1;21892,06;21466,85;0,4879
751020805;75056;75;1591,3;8673;17197;32475;23802;3891;6678;10253;13146;22000;27972;36216;44403;11,4;28256,73;23347,11;0,4668
751030901;75056;75;1426,4;10087;21016;35762;25675;4674;7867;12574;16481;25296;32229;41227;57033;12,2;47796,89;29157,95;0,4900
751030902;75056;75;1460,1;10559;23616;37151;26592;3806;8257;12679;18192;27748;33859;41152;55281;14,5;31213,84;28349,68;0,4548
751030903;75056;75;1304,2;14427;25537;40459;26032;7133;11740;16628;20832;30798;35907;44473;58867;8,3;48635,89;33365,81;0,4527
751030904;75056;75;1473,4;7286;18232;33451;26165;3537;6237;9103;13565;23046;29969;37917;54811;15,5;60085,99;27901,82;0,5468
751030905;75056;75;1323,2;12084;24401;41832;29748;5139;9407;14467;19979;30824;37490;47281;66411;12,9;40230,08;33434,35;0,4754
751031001;75056;75;1448,6;11162;21859;38572;27410;5974;9215;13035;17735;27372;35258;44662;59825;10,0;30708,10;29976,34;0,4609
751031002;75056;75;1455,1;13810;26729;41929;28119;6520;11951;16771;22165;31999;37728;49688;68703;10,5;32640,13;33835,28;0,4332
751031003;75056;75;1581,8;13832;26741;45447;31615;5269;10683;16395;19974;32260;40210;51123;73253;13,9;40621,19;36135,55;0,4773
751031004;75056;75;1326,8;13651;25914;43868;30217;6383;10876;16129;20724;31950;39879;49498;71013;11,1;59511,52;38837,37;0,5111
751031101;75056;75;1338,2;17508;30090;49842;32334;8662;14473;20265;25944;37787;45271;55207;72982;8,4;40373,67;39095,68;0,4300
751031102;75056;75;1135,7;16683;29517;49357;32674;8331;14511;18731;23665;36396;43093;55782;85284;10,2;51178,96;41429,07;0,4661
751031103;75056;75;1147,8;16361;29468;53305;36944;8390;14299;19294;24027;35765;46712;59264;93621;11,2;115347,86;49269,19;0,5435
751031104;75056;75;1785,2;16862;29629;53777;36915;7738;13944;19677;23858;38059;47858;61916;97406;12,6;141055,10;52211,36;0,5626
751031201;75056;75;1464,8;11711;23599;41581;29870;4750;8701;13765;18297;29665;37076;47422;67065;14,1;64241,92;35743,62;0,5268
751031202;75056;75;1301,3;13927;26470;45888;31961;7370;11845;16414;21526;33290;40082;53376;73104;9,9;60248,42;38794,86;0,4939
751031203;75056;75;1364,6;13747;23953;39544;25797;6439;11336;15768;19554;28839;35391;44026;62164;9,7;34177,82;32070,91;0,4510
751031204;75056;75;1396,7;9793;21442;36589;26796;4435;7989;11988;16297;26370;33044;41647;54896;12,4;23843,13;26719,83;0,4450
751041301;75056;75;1264,6;14951;27023;44485;29534;8089;13167;17290;21508;32025;39071;49797;73395;9,1;44923,92;37624,65;0,4747
751041302;75056;75;1720,1;14890;27257;44087;29197;7773;12629;17420;21742;33393;39145;48848;68855;8,9;38015,38;34972,13;0,4345
751041303;75056;75;1276,1;12497;24021;43206;30710;5699;10227;14356;18780;30063;38324;46481;64159;11,3;43267,87;33346,48;0,4793
751041304;75056;75;181,8;20102;31046;49654;29552;;;;;;;;;;;;
751041401;75056;75;2143,5;11891;22775;34580;22689;4576;10167;14106;18705;26879;31728;38905;53965;11,8;30156,31;28825,03;0,4499
