IRIS;com;DEP;NBUC07;RFUCQ107;RFUCQ207;RFUCQ307;RFUCIQ07;RFUCD107;RFUCD207;RFUCD307;RFUCD407;RFUCD607;RFUCD707;RFUCD807;RFUCD907;RFUCRD07;RFUCET07;RFUCMO07;RFUCGI07
751010101;75056;75;627,8;17688;29297;51247;33559;;;;;;;;;;;;
751010102;75056;75;143,6;23016;38976;83460;60445;;;;;;;;;;;;
751010103;75056;75;256,3;17651;34078;54834;37183;;;;;;;;;;;;
751010104;75056;75;;;;;;;;;;;;;;;;;
751010201;75056;75;1713,2;14088;25291;40599;26511;5767;11467;15958;20202;30213;36637;45798;60320;10,5;47761,49;32615,37;0,4522
751010202;75056;75;1207,9;16531;28737;51318;34787;7886;14078;18679;23136;36219;44640;56792;76359;9,7;95081,08;42561,43;0,4883
751010203;75056;75;1619,2;17342;29958;49090;31748;7731;14404;20016;24414;35978;42559;55498;85022;11,0;178598,89;49484,82;0,5566
751010204;75056;75;1493,5;14088;25712;41099;27011;6025;11773;16842;21255;30286;37498;46918;66596;11,1;37590,82;33972,16;0,4551
751010206;75056;75;343,5;17599;32061;57838;40239;;;;;;;;;;;;
751010301;75056;75;2033,1;16562;29480;52798;36236;8437;14513;19249;24505;36513;46563;60285;89748;10,6;182037,75;55144,83;0,5863
751010302;75056;75;;;;;;;;;;;;;;;;;
751010303;75056;75;182,3;21001;45831;93365;72364;;;;;;;;;;;;
751010401;75056;75;947,5;18842;35883;65347;46505;10832;16123;21028;29430;46591;58409;75214;130225;12,0;90175,78;59939,22;0,5360
751010402;75056;75;1106,3;17992;31493;55955;37964;8785;15029;20374;24593;39425;49969;65274;93821;10,7;77077,60;51407,90;0,5351
751020501;75056;75;682,5;15201;29597;51913;36712;;;;;;;;;;;;
751020502;75056;75;197,0;16552;28094;68987;52435;;;;;;;;;;;;
751020503;75056;75;;;;;;;;;;;;;;;;;
751020601;75056;75;1115,3;18981;32141;53056;34075;8248;15791;21194;26764;39040;47329;61563;95540;11,6;72147,62;50947,39;0,5231
