IRIS;COM;DEP;NBUC05;RFUCQ105;RFUCQ205;RFUCQ305;RFUCIQ05;RFUCD105;RFUCD205;RFUCD305;RFUCD405;RFUCD605;RFUCD705;RFUCD805;RFUCD905;RFUCRD05;RFUCET05;RFUCMO05;RFUCGI05
751010101;75056;75;656,1;15691;26597;42617;26926;;;;;;;;;;;;
751010102;75056;75;147,1;18421;33038;68985;50564;;;;;;;;;;;;
751010103;75056;75;263,7;17673;33162;47284;29611;;;;;;;;;;;;
751010104;75056;75;;;;;;;;;;;;;;;;;
751010201;75056;75;1768,9;12680;22130;36508;23828;5417;10370;14511;18160;26515;32513;40216;54011;10,0;36046,61;28910,64;0,4413
751010202;75056;75;1153,6;15131;27189;45516;30385;7452;12897;17003;22198;33791;40855;49660;68190;9,2;56644,96;38108,56;0,4756
751010203;75056;75;1579,8;15354;27072;44156;28802;7284;13371;18267;22222;32577;39511;49399;69065;9,5;47744,42;36017,17;0,4503
751010204;75056;75;1500,8;13494;24758;37220;23726;6630;10853;15497;20072;28627;33612;41132;58136;8,8;31192,94;30364,79;0,4296
751010206;75056;75;352,1;16446;30646;52667;36221;;;;;;;;;;;;
751010301;75056;75;1965,7;17467;29352;48440;30973;7988;14756;19301;24449;34742;43356;56264;83146;10,4;189717,91;53021,11;0,5832
751010302;75056;75;;;;;;;;;;;;;;;;;
751010303;75056;75;171,7;15696;35577;67174;51478;;;;;;;;;;;;
751010401;75056;75;930,4;16661;32338;54861;38200;9646;14355;19207;25843;39376;48316;61533;94527;9,8;61297,72;47585,22;0,5034
751010402;75056;75;1065,4;16331;27681;46084;29754;8412;13915;18704;23228;33508;42566;55078;82939;9,9;47098,14;40938,87;0,4824
751020501;75056;75;687,3;14728;26063;43957;29229;;;;;;;;;;;;
751020502;75056;75;214,5;14719;31083;56242;41523;;;;;;;;;;;;
751020503;75056;75;;;;;;;;;;;;;;;;;
751020601;75056;75;1153,5;17204;28424;46088;28884;8727;14982;19688;24132;35160;41970;52653;79066;9,1;48736,68;39783,11;0,4540
751020602;75056;75;1028,7;13757;26433;42147;28390;;;;;;;;;;;;
751020701;75056;75;1369,5;12761;25221;40585;27824;6086;10628;15220;20135;30314;36953;47187;64205;10,5;32188,83;31947,23;0,4412
751020702;75056;75;1439,8;13404;24717;41373;27969;6697;11073;16166;20402;29790;36681;47576;69730;10,4;61482,60;37391,26;0,5098
751020703;75056;75;1499,8;11116;23980;41007;29891;4445;8575;13384;18148;30155;36527;46925;66530;15,0;47379,36;33084,64;0,4951
751020704;75056;75;410,9;14249;27393;44083;29834;;;;;;;;;;;;
751020801;75056;75;1662,6;6609;14502;30768;24159;3600;5718;7833;10759;19867;26269;36585;51426;14,3;24495,44;22654,53;0,5072
751020802;75056;75;1304,1;12220;24215;40674;28454;5255;10419;14658;19112;29333;37652;46730;65436;12,5;85855,19;34150,80;0,5002
751020803;75056;75;1409,2;10073;22664;37947;27874;4540;7895;11657;17772;28069;33744;43265;56760;12,5;33145,99;29018,95;0,4721
751020804;75056;75;1539,0;6027;13547;27781;21754;3224;5270;7245;9914;18401;24333;32099;43286;13,4;20522,57;19780,39;0,4866
751020805;75056;75;1604,6;7796;15976;29455;21659;3583;6203;9379;12273;20806;26037;33487;43323;12,1;19968,32;21214,81;0,4572
751030901;75056;75;1438,0;9912;19999;34542;24630;5030;8470;11565;15716;25126;31800;39307;56883;11,3;44341,53;28222,05;0,4851
751030902;75056;75;1499,3;9556;21674;36173;26617;3972;7345;11740;16301;25729;31905;39433;52160;13,1;39678,50;27304,96;0,4747
751030903;75056;75;1335,5;13283;23842;37552;24269;5693;11406;15296;18945;28423;34476;41749;59177;10,4;36942,53;30970,11;0,4525
751030904;75056;75;1438,2;8047;17937;34180;26133;3921;6934;9863;13659;23048;29734;38595;57697;14,7;40739,23;27678,07;0,5318
751030905;75056;75;1380,0;10703;23298;39606;28903;4754;8196;12542;18099;29359;35678;46121;62709;13,2;35697,58;31169,97;0,4838
751031001;75056;75;1453,9;10183;20169;36274;26091;5695;8383;12005;16716;25014;31548;41781;56095;9,8;32560,92;28327,47;0,4700
751031002;75056;75;1479,6;14539;26316;41073;26534;6587;11508;16613;21746;30727;37024;45282;61542;9,3;26386,06;31475,04;0,4092
751031003;75056;75;1615,4;12711;25489;43248;30537;5337;10283;15273;19845;31814;38836;48895;68014;12,7;34191,33;33719,63;0,4632
751031004;75056;75;1388,2;13654;24641;43762;30108;6090;10967;15441;19811;29718;38231;49078;66969;11,0;56222,88;35993,20;0,4964
