IRIS;COM;DEP;NBUC11;RFUCQ111;RFUCQ211;RFUCQ311;RFUCIQ11;RFUCD111;RFUCD211;RFUCD311;RFUCD411;RFUCD611;RFUCD711;RFUCD811;RFUCD911;RFUCRD11;RFUCET11;RFUCGI11
751031204;75056;75;1463,9;11995;25857;44375;32380;5698;9479;14407;20101;32149;39862;50907;68359;12,0;32000,33;0,4589
751041301;75056;75;1265,8;17596;31180;52337;34741;7544;14747;20895;25573;39841;46327;61783;90752;12,0;56841,59;0,4872
751041302;75056;75;1750,8;16793;30148;52092;35299;7214;14017;19834;24562;37825;47267;57155;81385;11,3;47046,48;0,4521
751041303;75056;75;1308,4;14696;27847;47520;32824;5557;12477;17449;22874;34399;41987;51931;73423;13,2;59171,21;0,4990
751041304;75056;75;193,6;20235;32712;54039;33804;;;;;;;;;;;
751041401;75056;75;2236,9;12766;25268;39879;27113;5891;10780;15573;20791;30005;36498;44059;63767;10,8;98619,80;0,5028
751041402;75056;75;1601,7;17163;30215;48969;31806;7793;14545;19543;24200;36925;43164;55073;79050;10,1;74632,15;0,4894
751041403;75056;75;1832,0;14968;28482;48765;33797;5851;12014;17226;22391;35789;44279;55281;77951;13,3;51090,75;0,4926
751041404;75056;75;1264,5;17889;29921;47626;29737;7723;14948;19969;24531;36713;43143;53159;73735;9,5;66732,56;0,4888
751041501;75056;75;2167,4;18921;29422;48311;29390;10773;16661;20803;24621;34663;43151;55808;82653;7,7;94700,66;0,5074
751041502;75056;75;1283,7;22160;37712;59762;37602;11031;18488;24811;31609;44098;53604;65595;92520;8,4;54281,63;0,4516
751041503;75056;75;1409,6;22610;38178;60731;38121;11779;19868;26569;32999;45519;56480;67580;101006;8,6;66625,17;0,4590
751041504;75056;75;1569,1;19243;32552;54622;35379;9063;16800;21918;26369;39996;50136;60272;88161;9,7;87755,86;0,4944
751041601;75056;75;1794,5;20673;40361;71903;51230;9168;17512;23948;32126;49769;63850;84998;136926;14,9;93904,49;0,5416
751041602;75056;75;436,3;18952;38044;71969;53017;;;;;;;;;;;
751041603;75056;75;;;;;;;;;;;;;;;;
751051701;75056;75;1464,1;18538;30703;48499;29961;8162;15705;21154;26225;36612;44876;54197;71268;8,7;35610,44;0,4151
751051702;75056;75;1180,6;19792;32541;51713;31921;9834;17520;22551;27600;39383;46608;57622;81191;8,3;42327,23;0,4284
751051703;75056;75;1567,9;18548;29433;45864;27316;10503;15866;20484;25610;35214;42826;50857;66869;6,4;30109,07;0,3887
751051704;75056;75;2040,7;20923;33658;58255;37332;10535;17717;23367;28851;42061;52500;63917;89821;8,5;52487,07;0,4560
751051705;75056;75;1491,8;20433;36341;65162;44729;9955;17173;23446;28691;45054;57491;72853;105445;10,6;64264,53;0,4952
751051706;75056;75;;;;;;;;;;;;;;;;
751051801;75056;75;1237,2;22071;33158;50814;28743;10986;19444;23833;28347;38875;45678;55893;74201;6,8;27251,11;0,3619
751051802;75056;75;1584,8;19186;30991;48782;29596;10029;15755;21359;25965;36814;44317;52876;68812;6,9;32971,75;0,3916
751051803;75056;75;1375,0;19814;33155;50193;30379;9918;16782;23006;27717;38710;45909;55317;73661;7,4;39296,32;0,4106
751051804;75056;75;1519,4;17059;27856;44121;27062;9118;15285;19540;24196;33334;39257;50417;72392;7,9;51782,25;0,4380
751051805;75056;75;2104,8;17348;30240;46743;29395;8373;14509;19717;25402;36285;42534;51762;70927;8,5;47455,57;0,4350
751051806;75056;75;1467,7;17255;29092;45581;28326;7932;13982;19206;24385;33488;39950;49406;66294;8,4;34917,08;0,4184
751051807;75056;75;1475,7;19147;28712;43255;24108;11552;16797;20944;24458;33288;39633;48732;66812;5,8;42251,58;0,3878
751051808;75056;75;1180,7;20312;33114;54715;34403;8933;16433;23087;27860;40003;49158;61046;78027;8,7;39976,16;0,4193
751051809;75056;75;;;;;;;;;;;;;;;;
751051901;75056;75;1929,6;21114;34279;51721;30607;9880;17121;23990;28816;41424;48014;59757;79319;8,0;47353,78;0,4198
751051902;75056;75;1160,1;22265;36765;59980;37715;9701;18097;25998;30359;43569;53416;66765;93705;9,7;95795,44;0,4986
751051903;75056;75;1506,8;21413;36357;58122;36709;10003;18031;24419;29826;44083;53234;65618;96673;9,7;68559,22;0,4850
751051904;75056;75;923,1;25636;44102;69958;44322;;;;;;;;;;;
751051905;75056;75;1598,1;26486;48583;86225;59739;10932;20516;30515;39263;60998;76670;97714;156547;14,3;113723,75;0,5302
751051906;75056;75;1439,6;21871;37074;61232;39361;11660;19002;25051;30542;44575;55749;68611;104423;9,0;68001,72;0,4754
751051907;75056;75;1278,1;19704;34807;58791;39087;8767;16669;23252;29676;42248;53341;65323;93872;10,7;112794,10;0,5352
