IRIS;COM;DEP;NBUC04;RFUCQ104;RFUCQ204;RFUCQ304;RFUCIQ04;RFUCD104;RFUCD204;RFUCD304;RFUCD404;RFUCD604;RFUCD704;RFUCD804;RFUCD904;RFUCRD04;RFUCET04;RFUCMO04;RFUCGI04
751010101;75056;75;688,6;16351;27429;44519;28168;;;;;;;;;;;;
751010102;75056;75;151,9;17991;32065;75100;57109;;;;;;;;;;;;
751010103;75056;75;269,4;13836;28753;44023;30187;;;;;;;;;;;;
751010104;75056;75;;;;;;;;;;;;;;;;;
751010201;75056;75;1753,4;11524;20579;33617;22093;5604;9396;13126;16873;24849;30446;37718;51966;9,3;36193,24;27008,02;0,4438
751010202;75056;75;1218,6;14486;25393;42394;27908;6650;11954;16518;20833;32051;38588;47291;66559;10,0;46263,71;35833,06;0,4738
751010203;75056;75;1618,5;14968;26000;42580;27612;7216;11992;16839;20655;31540;38657;47707;68579;9,5;49173,95;34473,64;0,4489
751010204;75056;75;1552,9;13500;24221;36439;22939;6431;11044;15366;19995;27863;32801;41022;56020;8,7;28892,30;29922,05;0,4293
751010206;75056;75;349,2;15422;28342;46685;31263;;;;;;;;;;;;
751010301;75056;75;1987,0;16009;27976;46371;30362;7624;13581;18116;23174;33925;41518;54020;79130;10,4;87157,08;43839,23;0,5222
751010302;75056;75;;;;;;;;;;;;;;;;;
751010303;75056;75;166,1;12935;26583;49571;36636;;;;;;;;;;;;
751010401;75056;75;983,9;17743;32176;54486;36743;10275;14969;20469;25497;40543;50042;60004;85260;8,3;63347,15;47149,08;0,4879
751010402;75056;75;1081,3;15803;27356;44690;28887;9038;13686;18584;21937;32792;39334;50833;72762;8,1;62783,47;40255,64;0,4910
751020501;75056;75;664,5;13501;27991;46432;32931;;;;;;;;;;;;
751020502;75056;75;200,4;15545;30781;59583;44039;;;;;;;;;;;;
751020503;75056;75;;;;;;;;;;;;;;;;;
751020601;75056;75;1129,4;17445;27216;45640;28195;9278;14826;19740;23399;33691;41260;51382;75160;8,1;40931,69;38396,50;0,4446
751020602;75056;75;1039,3;12525;24552;40774;28249;;;;;;;;;;;;
751020701;75056;75;1383,9;12321;24552;40088;27767;5182;10324;14436;19463;28626;35796;44641;60225;11,6;27667,35;29954,74;0,4348
751020702;75056;75;1480,1;13817;24063;39114;25297;6705;11083;15990;20254;28168;34533;44041;64426;9,6;61471,37;35036,23;0,4958
751020703;75056;75;1491,4;10833;23077;39903;29070;4743;8741;13190;17801;28614;35284;44521;60891;12,8;61024,05;32877,64;0,5102
751020704;75056;75;408,4;14429;28716;46638;32209;;;;;;;;;;;;
751020801;75056;75;1744,5;6278;13562;29370;23092;3623;5160;7225;10113;17711;24534;34623;47358;13,1;22580,14;21036,81;0,5026
751020802;75056;75;1338,4;11492;22594;38550;27058;5394;9605;13710;18773;28585;35000;43952;60562;11,2;52702,76;32166,71;0,4885
