1019200,1296600,1366200,1682100,1916700
150900,186900,199000,237500,264500
198600,248700,275500,318000,351100
70100,82800,86400,93400,159800
32000,39000,42000,45000,48300
77000,94200,93400,103100,113200
108200,138000,145900,166900,186000
95500,114100,117700,131500,138300
44200,72300,79800,94200,99500
20000,23600,23800,26400,28400
61200,75200,78800,81900,86400
25500,38000,31300,32800,34700
107600,119200,124600,132300,135800
25800,30000,32000,34200,35600
35900,42800,45100,50300,51800
39800,55100,57700,64700,56900
24700,30800,33500,38100,44100
55200,62900,70400,112600,112200
35600,45800,45800,49700,51900
32400,39200,42000,48200,48100
42400,49200,50800,50400,54300
9600,10500,10500,10600,11200
31200,37700,37300,42000,41300
35800,38900,39600,40400,39300
46900,62100,64300,68200,78900
26200,30100,32300,33500,37100
23100,32400,32600,49000,49200
43600,52100,53900,58200,59500
39200,43900,45800,51700,55800
45300,76600,76400,74500,85400
37800,44100,45300,41400,43700
22400,26800,27100,34700,37200
24500,27400,29100,29700,32100
12400,16200,16200,18700,21100
21700,25900,25700,26100,25600
26500,38100,41600,46600,51100
18200,22700,21800,22300,23500
44400,49600,52100,56600,58800
41200,53500,53600,54300,57100
3800,4100,10300,11000,16200
9000,9500,9700,10000,10700
25000,39900,41300,43500,46800
5500,6800,8400,10400,7800
24500,26400,27400,33100,34600
22400,26800,29300,30900,30600
11100,13900,16100,16900,18700
18200,26400,25700,28400,35500
13900,17400,16500,16200,18900
18000,18800,19000,19500,20000
4100,5800,6100,5900,9300
