evolution$generation,feedbackWeight,feedbackGamma,feedbackDecay,logmse,mselog
213,0.09943647453001958,2.075429665960235,8.00153943310524E14,31.242425916927704,302.78810601566323
213,0.04712977035029664,3.0706729271217093,8.466186583850459E14,31.23922667344375,302.8251719546716
213,0.048040354365073534,2.930826317159873,9.05682490808743E14,31.239271276730495,302.82417862020503
213,0.059749086804112755,2.2602236029356355,7.093415626935619E14,31.239879757720846,302.8125049559693
213,0.033318514244235514,4.13287200468801,7.95777383135266E14,31.238598179555417,302.8417509386033
213,0.08967503248161213,2.857356205734124,9.294837508859212E14,31.241730277819276,302.7919350579015
213,6.006420289900409E-4,4.031203453597044,8.309664148521422E14,31.23746783888242,302.8923529180379
213,9.613393599224992E-4,2.5592975194112477,4.769473677185266E14,31.237477560238236,302.89170819675377
213,0.009340750067796801,1.9399905546513228,7.86105816051899E14,31.23772056273942,302.8772756942032
213,0.0536548585130522,1.322670640543786,8.430438236607948E14,31.239554955799505,302.81832641519026
213,0.0663297209851361,3.819221503676421,8.016544072924302E14,31.240250237811363,302.8068392290378
213,0.09305154208491812,3.398820059953971,9.812773550161541E14,31.241965773965536,302.7904503025032
213,0.01578364553910273,3.5292766827496957,8.606476167078099E14,31.237929813273478,302.8668893663458
213,0.0466501763722443,2.49333190464144,8.396142557297304E14,31.23920333900603,302.8257000903176
213,0.036180904433902226,4.1815006910953825,9.401053189982599E14,31.23872103792889,302.83808177130413
213,0.06617872099655225,3.3781752757464134,8.080741848111818E14,31.240241506652712,302.8069620138801
213,0.011304714081410101,3.487689239230838,4.547434951619631E14,31.23778228234932,302.8740442060235
213,0.07712688882327692,1.2240292234930865,1.0E15,31.2409025897069,302.7989385932534
213,0.02532313607183718,2.92170196714801,8.043904777283285E14,31.23827546878697,302.8526457641208
213,0.06148635898257865,3.6521170050210565,8.342515894204086E14,31.239975570035764,302.8109466355993
213,0.012920774103939846,3.099483533726684,8.606568700752436E14,31.237834426897415,302.8714282069609
213,0.07433941801617608,5.0,8.865613931887062E14,31.24072887698037,302.8008122498772
213,0.022468138116254092,3.133470837325617,1.9998084780352797E14,31.23816753083912,302.85676663016307
213,0.060333371257832495,2.622284559335851,3.6370923058877156E14,31.23991182202758,302.8119758721313
213,6.404762439379298E-4,3.060350336641511,8.633154947017756E14,31.237468909482935,302.8922816219774
213,0.03096153903776453,3.7191146607432475,9.28304458637355E14,31.238499915274264,302.8448637635107
213,0.017119654976060977,3.9151750306469597,7.910571205823691E14,31.237975645092465,302.86481298493624
213,0.058809868651026886,2.0659697988575236,7.942440853938764E14,31.239828554271508,302.81336612139023
213,0.09242855903240285,0.21429379979884933,8.833895520055401E14,31.241921916023433,302.79071148783635
213,0.02653367361240426,2.586221239793265,4.3090400224825306E14,31.23832239381627,302.8509351311721
213,0.02455984232191875,1.9298014452939547,6.402421504063969E14,31.23824623536429,302.8537356051424
213,0.026497849735457536,2.91744497892837,7.724340084510494E14,31.238320995222058,302.85098543401074
213,0.044163159298159976,5.0,8.154042314747131E14,31.239084077882755,302.82849372265525
213,0.048640218686288594,2.0957697252578296,9.141150376042825E14,31.23930087417376,302.823530981376
213,0.07058056186396579,4.400440863173408,9.088091144871594E14,31.2405004674544,302.8035218113991
213,0.0515967658695074,1.0715963867094134,9.877708407343376E14,31.239449237184463,302.82041719094514
213,0.030449157600030818,2.420266030979951,4.93449425365182E14,31.23847890023536,302.8455514052664
213,0.034786004712193855,4.205542572197595,5.781293526138556E14,31.23866068379826,302.83985460620806
213,0.00855945179541976,3.403716953739618,2.697195862888502E14,31.237696513028858,302.8785772075109
213,9.310646196416699E-4,2.479753440699989,2.991143414116658E14,31.237476741945063,302.8917622366205
213,0.0026555707942640763,3.724099084126123,9.050830224484521E14,31.237524037956682,302.8887057894046
213,0.024132721381815717,1.4740175598743142,8.28441369167944E14,31.238229996725934,302.85434923416204
213,0.035768155142926306,1.3830437708623409,8.723044458009644E14,31.23870308356234,302.83860332957363
213,0.02535424584788723,0.29307924361399396,9.998687748270088E14,31.23827666607198,302.8526015251246
213,0.030045309654798655,2.2893181064305823,3.918550651795931E14,31.2384624238388,302.84609614112355
213,0.033673008360329444,1.279224015228046,8.470711441766989E14,31.238613185318158,302.84128990930014
213,0.0029534563896904294,0.2403050567166674,9.151524703811694E14,31.23753234886005,302.8881823125676
213,0.07207536968342455,3.0148708349343343,6.891865657924681E14,31.240590497575266,302.80241912104333
213,0.03448252694913745,2.774827519720402,7.76920789970791E14,31.238647674569215,302.8402441351224
213,0.06329809261296233,0.0,7.247488799150861E14,31.240077012248417,302.80936934390877
213,0.03172445719702046,4.456427831741724,5.192222914780431E14,31.238531435296792,302.84384714795397
213,0.05476898576820955,1.1556311789864229,9.641054059772924E14,31.23961302170756,302.8172208807846
213,0.019048185453826163,1.6755376183796455,8.204234907421276E14,31.23804328324278,302.8618625760325
213,0.05531613099409816,4.793146415544069,8.873802012104836E14,31.239641752849707,302.8166847261575
213,0.037238191895627465,2.9676128837238513,8.489060891565576E14,31.238767396013046,302.8367573174273
213,0.021329450932312685,2.3543271303957174,1.665582403415532E14,31.238125551058168,302.8584440267936
213,0.07995701864637547,2.6943618462560517,8.464498711926081E14,31.241082735011965,302.79715450863296
213,0.10390440615194205,3.7925165209015765,5.5179001991313225E14,31.24275944487936,302.78682607472894
213,0.03931744896506602,3.4847010042028357,8.660662618709645E14,31.238860102627754,302.83420117221283
213,0.04259646547648191,3.414074309078475,8.713474339014254E14,31.239010449948285,302.83030081059604
213,0.04460756897056719,4.859407946966097,5.1952212059565425E14,31.239105174391415,302.8279877814287
213,0.08349279315761433,2.810923247188322,9.287780118711898E14,31.2413131416903,302.7950929462173
213,0.07359754590074012,1.6939356923876427,3.582058385531172E14,31.240683265511564,302.8013304049029
213,0.031722720654722474,3.956169040719095,8.339515941044174E14,31.23853136322465,302.8438494442307
213,0.11536419212976594,3.9040988240970815,8.850107411025911E14,31.243658368002638,302.7848998586814
213,0.027298484033104975,4.05958815457466,8.15341085543702E14,31.238352396517538,302.84986559250456
213,0.01495312704841624,0.0,7.95350914408297E14,31.237901745161103,302.8681935206913
213,0.05692023153464412,2.7390377191707884,9.794653533691825E14,31.23972680250484,302.8151384864686
213,0.036842631414464075,2.9458652902259086,9.013550144956131E14,31.238749990410334,302.83725088415605
