evolution$generation,growthRate,gravityWeight,gravityGamma,gravityDecay,feedbackWeight,feedbackGamma,feedbackDecay,mselog
3818,0.013282417426936328,2.5277639530291146E-4,5.35316483659688,2.4654985288859352,0.05849807522263985,10.0,0.01,297.98831711761295
3818,0.013282847909342171,2.4986626386904837E-4,5.351843115376918,2.464288836223377,0.057584749194550686,10.0,0.01,297.9885289065408
3818,0.013279289440584045,2.5162599068929644E-4,5.355790647555484,2.4634093762517186,0.05757024794420802,9.981323030371087,0.01,297.98875109043223
3818,0.0132818881772752,2.49040791827849E-4,5.3531338296909805,2.464137727896852,0.05712947593126177,10.0,0.01,297.98877191395474
3818,0.013270882687241343,2.519082256520212E-4,5.344758712784575,2.469312985817548,0.05779316307438434,10.0,0.01,297.98888450551067
3818,0.013276381095744832,2.484861528598142E-4,5.352690588530209,2.4644467577038993,0.05816228551645458,10.0,0.01,297.9889305668823
3818,0.013277527647857246,2.5164742664674286E-4,5.394993571551417,2.4459125228956786,0.057952620950959405,10.0,0.01,297.9889406835257
3818,0.013278482459017877,2.487187014421503E-4,5.351685470796736,2.46464519572047,0.05736105221048892,10.0,0.01,297.9889467046007
3818,0.013274263299266884,2.4926069004073615E-4,5.35306468444288,2.4646914113717604,0.057896307764739856,10.0,0.01,297.9889551100036
3818,0.013283134789654902,2.5029480120797814E-4,5.353106857702272,2.4646799755621878,0.05656713028547923,9.999372654277629,0.01,297.9890213274053
3818,0.01328382101554061,2.5097206386605114E-4,5.35940719749696,2.4616654625819505,0.0567862618081692,9.994876636492698,0.01,297.98905915453236
3818,0.013278537719226545,2.517907078625564E-4,5.3819872636771136,2.4525323105478924,0.05785336846273343,9.99147471041084,0.01,297.9891446883729
3818,0.013280562132696114,2.4853624850625295E-4,5.3509476477629105,2.464205702761199,0.058069436744814185,10.0,0.01,297.9891538108094
3818,0.013291033148602933,2.4943501461433356E-4,5.358473744590528,2.461811595820543,0.05766315132666182,10.0,0.01,297.9891925801437
3818,0.013290868985346958,2.493492980496481E-4,5.3525294903162415,2.464755622064643,0.057477666969104196,10.0,0.01,297.98919452798754
3818,0.013277768446028688,2.505529683920766E-4,5.356831220211668,2.4621704326385356,0.05725442701614686,9.993129722284436,0.01,297.9892010732258
3818,0.013276762233341356,2.485667861551884E-4,5.351660418387359,2.464645144612554,0.05738761755523253,10.0,0.01,297.9892374218148
3818,0.013286925092737187,2.4986088133205743E-4,5.351863268191198,2.465777916902434,0.05743613276044912,9.996238494120709,0.01,297.98925081193835
3818,0.013287142043501666,2.5271470010614186E-4,5.360921130372736,2.461574866521355,0.05771221327281895,9.997386863287609,0.01,297.98925943140534
3818,0.013278917440376509,2.5217085540293476E-4,5.355789193726994,2.4637714867879477,0.05781033239972504,9.964343629406136,0.01,297.98929203208155
3818,0.013287727809083586,2.4902765986593297E-4,5.3028103677197915,2.4858623136140596,0.057004275430307685,10.0,0.01,297.9892937301345
3818,0.01327918816957046,2.5077761570248643E-4,5.367252679296304,2.4578070621503127,0.05733845863106363,9.982580030469245,0.01,297.9893297516821
3818,0.013279490247194443,2.488590938888842E-4,5.354285953941643,2.464182965989395,0.05847353934195633,9.978081528517619,0.01,297.98938353536164
3818,0.01328413071485951,2.5070164458242155E-4,5.3583435076964285,2.461695970646987,0.0574526929077086,9.97659637410139,0.01,297.9894199347275
3818,0.013280293491404577,2.527568325879595E-4,5.356914787137871,2.4624446038691254,0.057612940109084826,10.0,0.01,297.98945714050984
3818,0.01328383027272298,2.483474623263497E-4,5.342493856236966,2.467812895601546,0.057925497071578486,9.997598962147661,0.01,297.98945961636156
3818,0.013278922949866252,2.5138966682609345E-4,5.357132954864751,2.4619881921031586,0.05714079623373082,9.998566093374937,0.01,297.9894864434526
3818,0.013277213726244434,2.4930769902656546E-4,5.356813887906427,2.4622734557481762,0.05726691439350886,9.986079342757524,0.01,297.9894940997067
3818,0.013285073713628779,2.5066572625918095E-4,5.360495390526548,2.461428134006542,0.05853480845131055,9.95980091066052,0.01,297.98951392238513
3818,0.013284716996715405,2.499158400122341E-4,5.35127239248357,2.4647987684714368,0.05772274661634051,9.96377671590116,0.01,297.9895605932659
3818,0.013286388503104483,2.5270885117281916E-4,5.360320797541131,2.4618640738821975,0.05745410656270475,9.98752081921748,0.01,297.9895962760526
3818,0.013286381470847541,2.5160911003806565E-4,5.36190721272923,2.4612442307335645,0.05708407777660576,9.985337009668127,0.01,297.9895979747493
3818,0.013277691010079924,2.475539904022446E-4,5.35498249642815,2.4630921374989674,0.05906350888238406,10.0,0.01,297.98961988357695
3818,0.01329092097569819,2.483601460726027E-4,5.355759212335682,2.4623729880068455,0.05792899463857435,10.0,0.01,297.9896297464087
3818,0.013291262535533286,2.5074178496219617E-4,5.361478131065222,2.4608261465810433,0.057072441942035895,10.0,0.01,297.9896300767895
3818,0.01328488299723526,2.5008785161997237E-4,5.359649385356168,2.4611539617128555,0.05866776124236851,9.959634676741143,0.01,297.98969686758267
3818,0.013291581700617443,2.4971410420290976E-4,5.362583337497788,2.460171772673962,0.057080132667204776,10.0,0.01,297.9896982794701
3818,0.013276163790092114,2.523432628306118E-4,5.366759661081506,2.4592888528767367,0.057337976809456445,9.97782718837256,0.01,297.9896992146554
