1366200,1682100,1916700,2116400,2209200
199000,237500,264500,303500,316200
275500,318000,351100,358800,356600
86400,93400,159800,187100,196100
42000,45000,48300,50200,54900
93400,103100,113200,126900,124900
145900,166900,186000,212900,222100
117700,131500,138300,139700,153500
79800,94200,99500,91100,82000
23800,26400,28400,31800,32100
78800,81900,86400,88900,90500
31300,32800,34700,40500,44800
124600,132300,135800,132600,134200
32000,34200,35600,36100,45100
45100,50300,51800,52700,55600
57700,64700,56900,54800,57500
33500,38100,44100,42500,43400
70400,112600,112200,122200,146000
45800,49700,51900,55600,55700
42000,48200,48100,51800,54500
50800,50400,54300,52700,52500
10500,10600,11200,11200,11600
37300,42000,41300,41600,41200
39600,40400,39300,39500,40900
64300,68200,78900,82500,97000
32300,33500,37100,39200,42600
32600,49000,49200,62100,60500
53900,58200,59500,62600,66500
45800,51700,55800,60700,72000
76400,74500,85400,101000,87400
45300,41400,43700,41600,41200
27100,34700,37200,45200,47000
29100,29700,32100,38800,41600
16200,18700,21100,24600,27300
25700,26100,25600,30000,31900
41600,46600,51100,53000,55100
21800,22300,23500,25300,27400
52100,56600,58800,61100,63700
53600,54300,57100,60200,62400
10300,11000,16200,23400,21900
9700,10000,10700,11600,11600
41300,43500,46800,47000,49400
8400,10400,7800,7400,8000
27400,33100,34600,35700,38100
29300,30900,30600,31000,30000
16100,16900,18700,20100,20700
25700,28400,35500,44200,41300
16500,16200,18900,18700,19500
19000,19500,20000,18300,19100
6100,5900,9300,9700,10200
