evolution$generation,growthRate,gravityWeight,gravityGamma,gravityDecay,feedbackWeight,feedbackGamma,feedbackDecay,logmse
4994,0.012340553396337354,1.7052188953805525E-4,3.136671689355988,20000.0,0.09074184964527322,10.0,0.01,31.21579317500116
4994,0.012340553201331598,1.7052189372178872E-4,3.136672321756108,20000.0,0.09074179627555701,9.999999999930294,0.01,31.21579317500116
4994,0.012340553644743459,1.7052187957567814E-4,3.136671981411572,20000.0,0.09074181528602662,9.999999999967583,0.01,31.21579317500116
4994,0.012340553210235085,1.705218960788168E-4,3.1366723817149875,20000.0,0.09074180416566235,9.999999999973188,0.01,31.21579317500116
4994,0.012340553386104904,1.7052188797768092E-4,3.136672222526996,20000.0,0.09074175903128012,9.99999999998229,0.01,31.21579317500116
4994,0.012340553211070077,1.705218926502794E-4,3.13667217934658,19999.99999985529,0.09074181984590937,9.999999999809836,0.01,31.21579317500116
4994,0.012340553187819125,1.705218944045089E-4,3.1366722020637234,20000.0,0.09074182728052531,10.0,0.01,31.21579317500116
4994,0.012340553146379704,1.7052189723937663E-4,3.136672340556392,20000.0,0.09074178714778668,9.999999999937947,0.01,31.21579317500116
4994,0.012340553050045167,1.7052190060088014E-4,3.136672454488819,19999.999999915828,0.09074175830017579,9.999999999856572,0.01,31.21579317500116
4994,0.012340553480235286,1.705218845984756E-4,3.1366723940853904,19999.999999758802,0.0907418244679781,10.0,0.01,31.21579317500116
4994,0.012340553207970313,1.7052189618541055E-4,3.1366723997385786,20000.0,0.09074178929543944,9.999999999967566,0.01,31.21579317500116
4994,0.012340553386242263,1.7052188754891777E-4,3.1366724989354697,20000.0,0.09074187756446353,9.999999999999172,0.01,31.21579317500116
4994,0.012340553174943996,1.705218972790798E-4,3.1366726182663243,19999.999999961416,0.09074182783051458,9.999999999998039,0.01,31.21579317500116
4994,0.01234055320849168,1.705218949479245E-4,3.136671982597373,20000.0,0.0907417361565096,10.0,0.01,31.21579317500116
4994,0.012340553171331902,1.7052189635699273E-4,3.136672588264828,19999.99999999682,0.0907418233431082,9.999999999998145,0.01,31.21579317500116
4994,0.01234055317025143,1.7052189828549487E-4,3.1366723210412095,19999.99999995965,0.09074178200045202,9.999999999940824,0.01,31.21579317500116
4994,0.01234055322224807,1.705218934436051E-4,3.136672411025613,20000.0,0.0907418294283451,9.999999999959542,0.01,31.21579317500116
4994,0.012340553252360248,1.7052189254132996E-4,3.1366723712170006,19999.999999963165,0.09074179373053089,9.999999999973713,0.01,31.21579317500116
4994,0.012340553297391707,1.7052189267902331E-4,3.1366727438215163,19999.9999999089,0.09074177086464139,9.999999999927917,0.01,31.21579317500116
4994,0.012340553230879438,1.7052189361985805E-4,3.136672409413777,19999.999999795862,0.0907418279275746,9.999999999975595,0.01,31.21579317500116
4994,0.012340553392216333,1.705218877373686E-4,3.136672434208926,19999.999999999996,0.09074181375626889,9.999999999809168,0.01,31.21579317500116
4994,0.012340553286549228,1.7052189408528257E-4,3.136672341425652,19999.999999997774,0.09074178389819847,10.0,0.01,31.21579317500116
4994,0.012340553212997048,1.705218942280047E-4,3.1366723610365925,19999.99999985285,0.0907418736926664,9.999999999838659,0.01,31.21579317500116
4994,0.01234055324284117,1.7052189105792385E-4,3.136672155350268,20000.0,0.09074184205967653,10.0,0.01,31.21579317500116
4994,0.012340553430134934,1.7052188693492454E-4,3.1366719312529106,19999.999999930147,0.0907417481627469,9.999999999996508,0.01,31.21579317500116
4994,0.012340553527070867,1.7052188323776418E-4,3.1366722785585015,19999.999999902637,0.09074178032322583,9.999999999787779,0.01,31.215793175001163
4994,0.012340553163889953,1.7052189482983293E-4,3.1366722123796706,19999.999999898195,0.09074173194583637,10.0,0.01,31.215793175001163
4994,0.012340552972332594,1.7052190300089897E-4,3.136672555782621,19999.99999989114,0.09074175564637602,9.999999999777966,0.01,31.215793175001163
4994,0.01234055322273969,1.7052189491257024E-4,3.1366724098925434,19999.9999997977,0.09074183015437835,10.0,0.01,31.215793175001163
4994,0.01234055307075343,1.705219001501487E-4,3.1366722459243217,19999.99999991379,0.09074175345562766,10.0,0.01,31.215793175001163
4994,0.012340553159773676,1.7052189850546976E-4,3.1366730701484733,19999.99999999964,0.09074177703681746,9.999999999935959,0.01,31.215793175001163
4994,0.012340553474013584,1.7052188430061453E-4,3.1366723307413644,19999.999999851927,0.09074179662936976,9.99999999994018,0.01,31.215793175001163
4994,0.012340553457217065,1.7052188142335138E-4,3.1366723873219065,19999.999999674757,0.09074180414736278,9.999999999998717,0.01,31.215793175001163
4994,0.012340553119630553,1.705218981236903E-4,3.136672187327526,19999.999999760228,0.09074182328003327,9.999999999839767,0.01,31.215793175001163
4994,0.012340553170532046,1.7052189541936482E-4,3.1366725828612605,19999.999999975193,0.09074181383131667,9.999999999775477,0.01,31.215793175001163
4994,0.012340553167184055,1.705218945335014E-4,3.1366724633739507,19999.999999863376,0.09074182543174583,9.999999999996115,0.01,31.215793175001163
4994,0.012340553149535902,1.7052189768204906E-4,3.1366718992187397,19999.999999699692,0.09074178152319903,9.999999999807876,0.01,31.215793175001163
4994,0.012340553392743269,1.7052188708180428E-4,3.136672151711342,19999.99999999362,0.09074170462558497,9.99999999993749,0.01,31.215793175001163
4994,0.012340553369753317,1.705218874156219E-4,3.136672247631458,19999.99999968156,0.09074178447134104,9.999999999966791,0.01,31.215793175001163
4994,0.012340553343598362,1.7052189014846723E-4,3.136672274838903,19999.999999626274,0.09074180569036028,10.0,0.01,31.215793175001163
4994,0.012340553218485175,1.7052189758593803E-4,3.1366722822900246,20000.0,0.09074175673097712,9.999999999721767,0.01,31.215793175001163
4994,0.012340553065766858,1.705219012655496E-4,3.1366728064067897,19999.999999907777,0.09074178480912187,9.999999999941338,0.01,31.215793175001163
4994,0.012340553137189753,1.7052189906839355E-4,3.136671712414206,19999.99999989638,0.09074176693617757,9.999999999872074,0.01,31.215793175001163
4994,0.012340553386885942,1.7052188811751204E-4,3.1366723406755264,20000.0,0.09074188343975934,9.999999999999222,0.01,31.215793175001163
4994,0.01234055292907011,1.705219058189644E-4,3.136672799728997,20000.0,0.09074175551569919,10.0,0.01,31.215793175001163
4994,0.01234055347308112,1.705218851858803E-4,3.136672604198554,20000.0,0.09074181735095126,9.999999999825018,0.01,31.215793175001163
4994,0.012340553289981255,1.7052188991210655E-4,3.1366728652183227,19999.999999757096,0.09074179662660409,9.99999999999572,0.01,31.215793175001163
4994,0.012340553032691723,1.705218989346034E-4,3.1366725075187274,19999.999999869597,0.09074181337077157,9.999999999928262,0.01,31.215793175001163
4994,0.012340553287183254,1.7052189339705816E-4,3.13667246446736,20000.0,0.09074183815183627,10.0,0.01,31.215793175001163
4994,0.012340553290950754,1.7052189030731778E-4,3.1366724738226672,19999.999999689666,0.09074178942500201,9.999999999958085,0.01,31.215793175001163
4994,0.012340553161434207,1.7052189819538374E-4,3.1366728613559447,19999.999999998545,0.09074177096088604,9.999999999974529,0.01,31.215793175001163
4994,0.012340553203889465,1.705218950819389E-4,3.1366724915180444,20000.0,0.09074188354537183,9.999999999945127,0.01,31.215793175001163
4994,0.012340552820295987,1.7052190931851285E-4,3.1366723874189337,19999.999999882955,0.0907417668143149,9.999999999960181,0.01,31.215793175001163
4994,0.0123405533113191,1.705218904918201E-4,3.136672566288482,19999.999999776202,0.09074187281673955,9.999999999864109,0.01,31.215793175001163
4994,0.012340553267467268,1.7052189018726795E-4,3.1366719856714766,19999.99999973091,0.09074179371645587,9.99999999997621,0.01,31.215793175001163
4994,0.012340553027393985,1.7052190241417282E-4,3.1366721703073464,19999.999999918928,0.09074183839382138,9.999999999983425,0.01,31.215793175001163
4994,0.012340552979201605,1.7052190374214427E-4,3.136672852694383,19999.99999992665,0.09074178147632665,9.999999999903498,0.01,31.215793175001163
4994,0.01234055321708137,1.7052189281809368E-4,3.1366720016542122,19999.999999933985,0.09074179720970647,9.99999999971667,0.01,31.215793175001163
4994,0.012340553389908653,1.7052188334478835E-4,3.1366728425674566,19999.99999999782,0.09074174559272098,10.0,0.01,31.215793175001163
4994,0.012340553122454925,1.705218957397794E-4,3.1366724228249034,19999.999999872805,0.09074175966920785,9.999999999791576,0.01,31.215793175001163
4994,0.012340553487298794,1.705218825982843E-4,3.136672951978468,19999.99999999147,0.09074175773951386,9.99999999985551,0.01,31.215793175001163
4994,0.012340553484518006,1.705218863988701E-4,3.136672358908225,19999.999999687418,0.09074180119638363,10.0,0.01,31.215793175001163
4994,0.01234055308274164,1.705218989823974E-4,3.1366725181799207,19999.99999977786,0.09074175259127422,9.999999999924936,0.01,31.215793175001163
4994,0.012340553075988569,1.7052190078700708E-4,3.136672383874574,19999.999999980715,0.09074178502623108,9.999999999810969,0.01,31.215793175001163
4994,0.012340553372306854,1.7052188722942505E-4,3.1366725232987482,19999.999999742333,0.09074179858236939,9.999999999666265,0.01,31.215793175001163
4994,0.012340553093423363,1.7052189884321405E-4,3.13667237730361,20000.0,0.0907417606834408,9.999999999813781,0.01,31.215793175001163
