accessibility,activesentropy,collcost,constrcost,empentropy,euclpace,expcollab,extdecrepitude,extgrowth,failed,gametype,lambdaacc,realcollab,regionalproba,stability,traveldistance,wantedcollab,withextd
0.9733394005496957,0.9989603357018908,1.0E-4,0.001,0.9962826590966049,2.0,0.625,0.18440857928457258,5.0,0.0,simple-nash,0.002,0.25,0.0,0.05279082846033656,13.552629426527806,0.625,true
0.9733445543372182,0.9988344287255047,1.0E-4,0.001,0.9960733232572166,2.0,0.75,0.2370089063004596,9.0,0.0,simple-nash,0.002,0.75,0.0,0.03328698740968413,13.549981409358908,0.75,true
0.9733959952555502,0.9990072133714112,1.0E-4,0.001,0.9961324281904523,2.0,0.625,0.24138946742386866,9.0,0.0,simple-nash,0.002,0.5,0.0,0.02505424282534301,13.523428264174619,0.625,true
0.9733695963842915,0.9990045200906951,1.0E-4,0.001,0.9962672309657798,2.0,0.625,0.35078852650033493,13.0,0.0,simple-nash,0.002,0.25,0.0,0.04972224242161784,13.537053962488681,0.625,true
0.9733466671663965,0.9989295188008259,1.0E-4,0.001,0.9959925203889053,2.0,0.75,0.13026866741132717,1.0,0.0,simple-nash,0.002,0.5,0.0,0.06999690665898052,13.548844716628345,0.75,true
0.973407424917966,0.9989895369548816,1.0E-4,0.001,0.9961366461105353,2.0,0.5,0.3171431994395962,13.0,0.0,simple-nash,0.002,0.25,0.0,0.04186777193628044,13.51754519029951,0.5,true
0.97342591509612,0.9989753080736776,1.0E-4,0.001,0.9962570810626018,2.0,0.5,0.23798428580247258,9.0,0.0,simple-nash,0.002,0.0,0.0,0.02773771635418279,13.507988319145888,0.5,true
0.9734042418115723,0.9990294614556263,1.0E-4,0.001,0.9962549916181521,2.0,0.625,0.2435613445960225,9.0,0.0,simple-nash,0.002,0.5,0.0,0.024763521851027925,13.519205035749625,0.625,true
0.9733959952555516,0.9990072133714102,1.0E-4,0.001,0.9961324281904521,2.0,0.625,0.3246158571704845,13.0,0.0,simple-nash,0.002,0.25,0.0,0.043457833161634096,13.523428264174617,0.625,true
0.9733916874427316,0.9989689826001664,1.0E-4,0.001,0.9960737259230261,2.0,0.375,0.13106685028096804,1.0,0.0,simple-nash,0.002,0.25,0.0,0.06828396206361993,13.525648437253556,0.375,true
0.973337946993744,0.998860282934316,1.0E-4,0.001,0.9961158816773498,2.0,0.5,0.13190774640042652,1.0,0.0,simple-nash,0.002,0.5,0.0,0.07405499058917984,13.55336416226981,0.5,true
