accessibility,activesentropy,collcost,constrcost,empentropy,euclpace,expcollab,extdecrepitude,extgrowth,failed,gametype,lambdaacc,realcollab,regionalproba,stability,traveldistance,wantedcollab,withextd
0.8483044609348906,0.9991935241514716,1.0E-4,0.001,0.9968914438566993,5.0,0.0,0.0,10.0,0.0,random,0.005,0.0,0.0,0.02411338486393859,33.53632348994886,0.0,false
0.848312241401928,0.9991011148266622,1.0E-4,0.001,0.996652075782694,5.0,0.0,0.0,10.0,0.0,random,0.005,0.0,0.0,0.026260588657098675,33.53414101804441,0.0,false
0.8483175225662579,0.9989931717386424,1.0E-4,0.001,0.996010512610319,5.0,0.0,0.0,10.0,0.0,random,0.005,0.0,0.0,0.023033735208738138,33.53230719085428,0.0,false
0.8482808203812878,0.999135107654303,1.0E-4,0.001,0.9967873868020622,5.0,0.0,0.0,10.0,0.0,random,0.005,0.0,0.0,0.026357617067369832,33.54186879535876,0.0,false
0.8483190519660369,0.9991675344179529,1.0E-4,0.001,0.9968904964095665,5.0,0.0,0.0,10.0,0.0,random,0.005,0.0,0.0,0.022599211530585257,33.53289520789751,0.0,false
0.8483839659177161,0.9991203114519256,1.0E-4,0.001,0.9966311078806616,5.0,0.0,0.0,10.0,0.0,random,0.005,0.0,0.0,0.021568541320515357,33.516640303716166,0.0,false
0.848147561781744,0.9992433560903772,1.0E-4,0.001,0.997039149617602,5.0,0.0,0.0,10.0,0.0,random,0.005,0.0,0.0,0.02459709334625285,33.57475759173893,0.0,false
0.8483229178856675,0.9992412339110982,1.0E-4,0.001,0.9969586488284742,5.0,0.0,0.0,10.0,0.0,random,0.005,0.0,0.0,0.021672811339744753,33.532062650860155,0.0,false
0.8483684897208482,0.9991178315418613,1.0E-4,0.001,0.9966291085987339,5.0,0.0,0.0,10.0,0.0,random,0.005,0.0,0.0,0.02300613301274361,33.52042545808497,0.0,false
0.8483668353830898,0.9991938111368659,1.0E-4,0.001,0.9968587568624724,5.0,0.0,0.0,10.0,0.0,random,0.005,0.0,0.0,0.021648251251027747,33.521180082908266,0.0,false
0.8483724379226057,0.999182260918372,1.0E-4,0.001,0.9968410420358207,5.0,0.0,0.0,10.0,0.0,random,0.005,0.0,0.0,0.02132970759472906,33.519787970967826,0.0,false
0.8482564873430417,0.9992566276300233,1.0E-4,0.001,0.996998297431205,5.0,0.0,0.0,10.0,0.0,random,0.005,0.0,0.0,0.023014509184017935,33.5481911653712,0.0,false
0.8483706427227303,0.9991439844434169,1.0E-4,0.001,0.9967799967514009,5.0,0.0,0.0,10.0,0.0,random,0.005,0.0,0.0,0.021766069159958212,33.520112368587014,0.0,false
0.8483795124148702,0.9991285195453178,1.0E-4,0.001,0.9966550820896168,5.0,0.0,0.0,10.0,0.0,random,0.005,0.0,0.0,0.022023296826541694,33.51776412917372,0.0,false
0.8483839659177169,0.999120311451925,1.0E-4,0.001,0.9966311078806611,5.0,0.0,0.0,10.0,0.0,random,0.005,0.0,0.0,0.021568541320515215,33.51664030371616,0.0,false
