accessibility,activesentropy,collcost,constrcost,empentropy,euclpace,expcollab,extdecrepitude,extgrowth,failed,gametype,lambdaacc,realcollab,regionalproba,stability,traveldistance,wantedcollab,withextd
0.9734107897601215,0.9990231236522839,5.0E-5,0.001,0.9961330073889073,2.0,0.875,0.1315443047689454,1.0,0.0,simple-nash,0.002,0.75,0.0,0.06650398390758963,13.515807342347642,0.875,true
0.9733743535122855,0.9990059423149681,5.0E-5,0.001,0.9961961219806877,2.0,0.625,0.1312487101441857,1.0,0.0,simple-nash,0.002,0.25,0.0,0.06840755577779925,13.534581084242188,0.625,true
0.9733630893979942,0.9988774612049665,5.0E-5,0.001,0.9961102383686297,2.0,0.75,0.1819019007146003,5.0,0.0,simple-nash,0.002,0.5,0.0,0.055960563345124045,13.540367280525944,0.75,true
0.9733455003672736,0.9989712753807611,5.0E-5,0.001,0.9962687496782584,2.0,0.5,0.13117629283843496,1.0,0.0,simple-nash,0.002,0.25,0.0,0.06906163311268351,13.549486543925413,0.5,true
0.9734731404166512,0.9989404793962543,5.0E-5,0.001,0.9961874422180619,2.0,0.75,0.17822007463607778,5.0,0.0,simple-nash,0.002,0.5,0.0,0.05137970299309773,13.483570895953553,0.75,true
0.9733774775506733,0.9989789803928931,5.0E-5,0.001,0.9961303891810993,2.0,0.375,0.1792642143945343,5.0,0.0,simple-nash,0.002,0.0,0.0,0.05170466213024326,13.53299456276849,0.375,true
0.9733582224969278,0.999007898043744,5.0E-5,0.001,0.996278161243827,2.0,0.625,0.1847170382319759,5.0,0.0,simple-nash,0.002,0.5,0.0,0.05101282024492799,13.542925271347372,0.625,true
0.9733723288547708,0.9990323098249725,5.0E-5,0.001,0.996197881959722,2.0,0.5,0.18231534544699354,5.0,0.0,simple-nash,0.002,0.5,0.0,0.05007416260047492,13.535649655585885,0.5,true
0.9733790549721553,0.9989021267722693,5.0E-5,0.001,0.9961745288661634,2.0,0.625,0.1275052817485339,1.0,0.0,simple-nash,0.002,0.25,0.0,0.07204133939076957,13.532151132831652,0.625,true
0.9733871646256274,0.9989696520951061,5.0E-5,0.001,0.996064715225407,2.0,0.375,0.1786666078986323,5.0,0.0,simple-nash,0.002,0.25,0.0,0.05163795501839327,13.527978900462985,0.375,true
0.9733696268892865,0.9988689545186037,5.0E-5,0.001,0.9960673444444379,2.0,0.25,0.12955286510570474,1.0,0.0,simple-nash,0.002,0.25,0.0,0.0730586782780382,13.537008593951477,0.25,true
0.9733971774919051,0.9988840030328694,5.0E-5,0.001,0.9962146121755109,2.0,0.625,0.13261149681544662,1.0,0.0,simple-nash,0.002,0.25,0.0,0.07184796530115468,13.522823542000296,0.625,true
0.9733380177895524,0.9988613557033232,5.0E-5,0.001,0.99611518211265,2.0,0.75,0.24253853116456248,9.0,0.0,simple-nash,0.002,0.5,0.0,0.03167068000788868,13.553316758690691,0.75,true
0.9733669478582242,0.9990001356536365,5.0E-5,0.001,0.996106484871353,2.0,0.75,0.1808934266874907,5.0,0.0,simple-nash,0.002,0.5,0.0,0.05100629955079959,13.538392227101397,0.75,true
0.9733315665500996,0.998838045596905,5.0E-5,0.001,0.9960047550668099,2.0,0.5,0.1301217142317059,1.0,0.0,simple-nash,0.002,0.0,0.0,0.07488846598726746,13.556652119878985,0.5,true
0.6838542414587383,0.9985685722402844,1.3000000000000002E-4,0.001,0.9965971677986891,6.0,0.48700292854145455,0.3332466172128078,17.0,0.0,discrete-choices,0.01,0.25,0.0,0.06059964378792093,39.77125203037421,0.5,true
0.6840865259709931,0.9985488941102767,1.3000000000000002E-4,0.001,0.9969842828457368,6.0,0.48700292854145755,0.3697037711175392,17.0,0.0,discrete-choices,0.01,0.25,0.0,0.07003587372576175,39.734853237382445,0.5,true
0.684280939601325,0.998633504272612,1.3000000000000002E-4,0.001,0.9971305497573179,6.0,0.4870029285414539,0.3469804318432529,17.0,0.0,discrete-choices,0.01,0.25,0.0,0.05910260979170362,39.704648754600946,0.5,true
0.6840544199732371,0.9985625812322706,1.3000000000000002E-4,0.001,0.9966884141911262,6.0,0.4870029285414535,0.43136823180145667,17.0,0.0,discrete-choices,0.01,0.0,0.0,0.08093857051269632,39.73887205183143,0.5,true
0.6839107205069098,0.9986031319001718,1.3000000000000002E-4,0.001,0.9968246393182139,6.0,0.48700292854145855,0.2780976065895201,13.0,0.0,discrete-choices,0.01,0.5,0.0,0.03372666175564209,39.76259466710406,0.625,true
0.6841054172907204,0.9987158108517049,1.3000000000000002E-4,0.001,0.9971500843995488,6.0,0.4870029285414591,0.38389110917245184,17.0,0.0,discrete-choices,0.01,0.75,0.0,0.0694590202683521,39.73305850383168,0.875,true
0.683561702586903,0.9988623965361034,1.3000000000000002E-4,0.001,0.9971367611766634,6.0,0.48700292854144567,0.4111584782480997,17.0,0.0,discrete-choices,0.01,0.0,0.0,0.07928492423013087,39.81747634634318,0.25,true
0.6843405257712473,0.9984767368344091,1.3000000000000002E-4,0.001,0.9969026503625716,6.0,0.4870029285414508,0.3036857663276697,17.0,0.0,discrete-choices,0.01,0.25,0.0,0.050025829805005535,39.69386610012394,0.375,true
0.6834948071969122,0.9987113454708516,1.3000000000000002E-4,0.001,0.9967774061566469,6.0,0.48700292854146704,0.35485794637443513,13.0,0.0,discrete-choices,0.01,0.0,0.0,0.05339735924014037,39.82658521087124,0.125,true
0.6838921813068382,0.9988625090190372,1.3000000000000002E-4,0.001,0.9971996129971987,6.0,0.48700292854146365,0.294773247736788,13.0,0.0,discrete-choices,0.01,0.25,0.0,0.03389511379797976,39.76752286246231,0.5,true
